query_id,query,method,answer,prompt_tokens,response_tokens,total_tokens,response_time_ms,retrieved_snippets_count,retrieved_snippets_preview,generation_record,timestamp,relevance_score,correctness_score,helpfulness_score,retrieval_quality_score,overall_score
1,What are the prerequisites for COMP7125?,no_rag,I am not sure. The knowledge base may not cover this question.,134,12,146,6931.08606338501,0,[],"{'session_id': 'eval_1_no_rag', 'query': 'What are the prerequisites for COMP7125?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 777, 'answer_text': 'I am not sure. The knowledge base may not cover this question.'}",2026-04-15T13:29:27.786943,2.0,2.0,1.0,3.0,1.6666666666666667
1,What are the prerequisites for COMP7125?,lexical_rag,"The information about COMP7125 is not available in the provided context. Specifically, it does not list any prerequisites 【S15】. I am not sure if this information is covered in the knowledge base.",953,32,985,25391.998767852783,3,"[{'citation_key': 'S14', 'text': ""# Graduate Attributes\nOn graduation, HKBU Taught Postgraduate graduates should achieve the following six core attributes:\n\nKNOWLEDGE\nMaster in-depth, advanced and","{'session_id': 'eval_1_lexical_rag', 'query': 'What are the prerequisites for COMP7125?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 6.3132}, {'citation_key': 'S4', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 4, 'score': 4.704}, {'citation_key': 'S15', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 15, 'score': 4.6138}], 'prompt_chars': 6503, 'answer_text': 'The information about COMP7125 is not available in the provided context. Specifically, it does not list any prerequisites 【S15】. I am not sure if this information is covered in the knowledge base.'}",2026-04-15T13:29:53.183883,2.0,3.0,2.0,3.0,2.3333333333333335
1,What are the prerequisites for COMP7125?,neural_rag,The prerequisites for COMP7125 Prompt Engineering for Generative AI are COMP7015 Artificial Intelligence or COMP7025 Artificial Intelligence for Digital Transformation 【N2】.,896,21,917,26466.882705688477,3,"[{'citation_key': 'N0', 'text': 'COMP7220 Special Topics in Artificial Intelligence  3 units\nCOMP7240 Recommender Systems  3 units\nCOMP7250 Machine Learning  3 units\nCOMP7630 Web Intelligence and I","{'session_id': 'eval_1_neural_rag', 'query': 'What are the prerequisites for COMP7125?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Academic_Programmes_Information_for_ITM.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N1', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N2', 'file_name': 'COMP7125_Course_Outline.txt', 'chunk_id': 0, 'score': None}], 'prompt_chars': 6210, 'answer_text': 'The prerequisites for COMP7125 Prompt Engineering for Generative AI are COMP7015 Artificial Intelligence or COMP7025 Artificial Intelligence for Digital Transformation 【N2】.'}",2026-04-15T13:30:19.678766,5.0,5.0,4.0,3.0,4.666666666666667
2,When is the final exam for COMP4146?,no_rag,I am not sure and that the knowledge base may not cover it.,135,13,148,6519.914865493774,0,[],"{'session_id': 'eval_2_no_rag', 'query': 'When is the final exam for COMP4146?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 773, 'answer_text': 'I am not sure and that the knowledge base may not cover it.'}",2026-04-15T13:30:26.198680,2.0,2.0,2.0,3.0,2.0
2,When is the final exam for COMP4146?,lexical_rag,"I am not sure if this information is available in the knowledge base. The provided context does not contain information about the final exam schedule for COMP4146. 【S3】 and 【S20】 provide general information about academic integrity and student conduct, while 【S21】 outlines student life resources and activities.",1105,47,1152,29794.111967086792,3,"[{'citation_key': 'S3', 'text': ""# Academic Integrity\nIntroduction\nHKBU aims at developing all aspects of the Whole Person through education. Students are expected to excel academically and become r","{'session_id': 'eval_2_lexical_rag', 'query': 'When is the final exam for COMP4146?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S3', 'file_name': 'Academic_Integrity.txt', 'chunk_id': 3, 'score': 8.9329}, {'citation_key': 'S20', 'file_name': 'Standard_of_Conduct.txt', 'chunk_id': 20, 'score': 8.873}, {'citation_key': 'S21', 'file_name': 'Student_Life.txt', 'chunk_id': 21, 'score': 5.8184}], 'prompt_chars': 8338, 'answer_text': 'I am not sure if this information is available in the knowledge base. The provided context does not contain information about the final exam schedule for COMP4146. 【S3】 and 【S20】 provide general information about academic integrity and student conduct, while 【S21】 outlines student life resources and activities.'}",2026-04-15T13:30:55.997392,2.0,2.0,2.0,3.0,2.0
2,When is the final exam for COMP4146?,neural_rag,"I am not sure if the information about COMP4146 is available in this knowledge base. The context provides details about various courses offered at HKBU, including COMP7240, COMP7250, and other courses within the Intelligent Information Systems stream and other elective options. However, it does not contain information about COMP4146. The knowledge base may not cover this specific course.",810,58,868,27288.439512252808,3,"[{'citation_key': 'N0', 'text': ""Learning Activities (TLAs):\nCILOs Type of TLA\n1,2,5,6 Students will learn the fundamental principles and key concepts of prompt engineering via lectures.\n3-6 Studen","{'session_id': 'eval_2_neural_rag', 'query': 'When is the final exam for COMP4146?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'COMP7125_Course_Outline.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N1', 'file_name': 'Certification_of_Academic_Assessment.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N2', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 1, 'score': None}], 'prompt_chars': 5737, 'answer_text': 'I am not sure if the information about COMP4146 is available in this knowledge base. The context provides details about various courses offered at HKBU, including COMP7240, COMP7250, and other courses within the Intelligent Information Systems stream and other elective options. However, it does not contain information about COMP4146. The knowledge base may not cover this specific course.'}",2026-04-15T13:31:23.342236,2.0,2.0,2.0,3.0,2.0
3,What is the academic integrity policy?,no_rag,"I am not sure. The knowledge base may not cover this question.
",134,12,146,6929.611682891846,0,[],"{'session_id': 'eval_3_no_rag', 'query': 'What is the academic integrity policy?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 775, 'answer_text': 'I am not sure. The knowledge base may not cover this question.\n'}",2026-04-15T13:31:30.271848,2.0,2.0,2.0,3.0,2.0
3,What is the academic integrity policy?,lexical_rag,"The Academic Integrity Online Tutorial (AIOT) is an introduction to promoting academic integrity by increasing students’ awareness of the issues involved. Using pertinent cases as examples, each of the six modules in AIOT provides information and strategies that can be applied to avoid committing academic misconduct unintentionally. Students are required to complete AIOT before the end of the second semester of study. 【S15】",873,63,936,24781.70394897461,3,"[{'citation_key': 'S14', 'text': ""# Graduate Attributes\nOn graduation, HKBU Taught Postgraduate graduates should achieve the following six core attributes:\n\nKNOWLEDGE\nMaster in-depth, advanced and","{'session_id': 'eval_3_lexical_rag', 'query': 'What is the academic integrity policy?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 7.0136}, {'citation_key': 'S31', 'file_name': 'University_Life.txt', 'chunk_id': 31, 'score': 6.8515}, {'citation_key': 'S15', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 15, 'score': 6.5577}], 'prompt_chars': 5836, 'answer_text': 'The Academic Integrity Online Tutorial (AIOT) is an introduction to promoting academic integrity by increasing students’ awareness of the issues involved. Using pertinent cases as examples, each of the six modules in AIOT provides information and strategies that can be applied to avoid committing academic misconduct unintentionally. Students are required to complete AIOT before the end of the second semester of study. 【S15】'}",2026-04-15T13:31:55.057396,3.0,3.0,2.0,3.0,2.6666666666666665
3,What is the academic integrity policy?,neural_rag,"The academic integrity policy at HKBU is based on six core fundamental values: Honesty, Trust, Fairness, Respect, Responsibility, and Courage 【N0】. It defines academic misconduct broadly, including exam rule breaches, cheating, plagiarism, impersonation, purchasing exam materials, data falsification, and dishonest acts for academic credit 【N0】. HKBU attaches great importance to academic integrity for students’ holistic development and future careers 【N0】. Penalties for academic dishonesty include reduced grades, failing grades, study suspension, or permanent academic dismissal 【N0】. Students are required to understand academic integrity rules, submit original work, cite sources correctly, and consult instructors for clarification 【N0】. Specific types of serious academic misconduct include collusion, ghost writing, essay/paper mills, and research fraud 【N0】.",998,112,1110,36762.500524520874,3,"[{'citation_key': 'N0', 'text': ""# Academic Integrity\nIntroduction\nHKBU aims at developing all aspects of the Whole Person through education. Students are expected to excel academically and become r","{'session_id': 'eval_3_neural_rag', 'query': 'What is the academic integrity policy?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Academic_Integrity.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N1', 'file_name': 'Standard_of_Conduct.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N2', 'file_name': 'University_Life.txt', 'chunk_id': 1, 'score': None}], 'prompt_chars': 7165, 'answer_text': 'The academic integrity policy at HKBU is based on six core fundamental values: Honesty, Trust, Fairness, Respect, Responsibility, and Courage 【N0】. It defines academic misconduct broadly, including exam rule breaches, cheating, plagiarism, impersonation, purchasing exam materials, data falsification, and dishonest acts for academic credit 【N0】. HKBU attaches great importance to academic integrity for students’ holistic development and future careers 【N0】. Penalties for academic dishonesty include reduced grades, failing grades, study suspension, or permanent academic dismissal 【N0】. Students are required to understand academic integrity rules, submit original work, cite sources correctly, and consult instructors for clarification 【N0】. Specific types of serious academic misconduct include collusion, ghost writing, essay/paper mills, and research fraud 【N0】.'}",2026-04-15T13:32:31.852402,5.0,5.0,5.0,3.0,5.0
4,How do I apply for a course withdrawal?,no_rag,I am not sure. The knowledge base may not cover this.,136,11,147,6768.331289291382,0,[],"{'session_id': 'eval_4_no_rag', 'query': 'How do I apply for a course withdrawal?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 776, 'answer_text': 'I am not sure. The knowledge base may not cover this.'}",2026-04-15T13:32:38.620733,2.0,2.0,2.0,3.0,2.0
